ProteinId	40C_0h_A	40C_0h_B	40C_0h_C	40C_0.5h_A	40C_0.5h_B	40C_0.5h_C	40C_1h_A	40C_1h_B	40C_1h_C	40C_2h_A	40C_2h_B	40C_2h_C	40C_4h_A	40C_4h_B	40C_4h_C	40C_8h_A	40C_8h_B	40C_8h_C	40C_16h_A	40C_16h_B	40C_16h_C	40C_24h_A	40C_24h_B	40C_24h_C	Synonym	MapMan	MapManDescription	GO	GODescription	Localization
Cre03.g153450.t1.2	181270065.2	192297559.6	177089800.7	232791439.4	177673967.6	167085426.9	130511797.9	140632627	167991823.6	96938512.17	112752479.1	93775420.83	78815360.93	68927941.19	93822062.37	125006007.5	90055594.7	115353217.3	80262254.28	128490010	129270422.5	120885432.6	146402459.5	90834103.18						
Cre03.g154550.t1.1	214144919.2	232341464.5	227044351.3	212301493.8	203807262.1	221322337.6	190100910.6	216916360.6	242923316.2	207935293.7	198926786.8	220218902.6	219040015.5	186047396.9	214160429.8	323269598.4	197005909.5	257721919.9	248390803.9	263132351.9	256840189.6	269251168.2	283331513.8	277214811.7	PCR1	GMM:13.2.2.3;GMM:13.1.2.2.2	amino acid metabolism.degradation.glutamate family.arginine;amino acid metabolism.synthesis.glutamate family.proline.pyrroline-5-carboxylate reductase	GO:0055114;GO:0006561;GO:0004735	oxidation-reduction process;proline biosynthetic process;pyrroline-5-carboxylate reductase activity	Chloroplast
Cre03.g156050.t1.2	110673259.9	112307417.9	145006404.6	110259106.1	63898767.49	146086890.7	94916473.13	103324464.5	139442410.5	151220739	130243137.3	180010714.2	121799919.4	103211442.5	169893787.4	87374742.67	139237980.9	139725251.9	115349733.1	78838768.87	104379012	68702065.42	108819782.1	102611203		GMM:31.2;GMM:29.2.5	cell.division;protein.synthesis.release	GO:0006412	translation	Chloroplast
Cre03.g156250.t1.2	186457167.1	97471639.42	216690745.4	163899135.6	197146515.5	221741191.3	149379121.1	135288887.5	223204502.4	172301636.6	205624620.7	126041574.7	205391884.3	141784341.7	266048153.5	297407465.5	255503134.3	195121521.2	155173449.3	188054676.5	223198134.2	163716332.9	373214850.4	268529512.3	FAP186					
Cre03.g156600.t1.2	131348560.8	143745681.4	176698344.9	114409843.1	167051524.8	145742499.8	97316071.57	142079573.5	148187275.8	112724244	133204993.5	182509528.2	121765855.9	159537085.4	128868690.8	130317747.9	154764311.2	131862680.5	164371110.7	133308535.6	146812940.4	117180215	114903905.6	103209616						Chloroplast
Cre03.g156750.t1.2	429926038.4	463369836.2	467158532.2	429825769.3	462302149.8	495578485.1	428347539.9	548331827.1	419792503.1	478538543.7	470284420	501816015.6	438693175	515723429.4	405181739.6	424627689.8	514921437.2	489696823.5	561178724.1	585877435.4	560958598.7	459379585.6	526706816.6	528764355.8	CCT5	GMM:29.6.2.2;GMM:29.4	protein.folding.chaperones and co-chaperones.HSP60s;protein.postranslational modification	GO:0005524	ATP binding	Cytosol
Cre03.g156900.t1.2	15097135577	12344157678	13264758651	15739356540	13979459130	13306519210	15899947911	12866957533	14964475333	16339864434	13404642993	12617263134	17139645605	18203068302	15962889209	23511800299	16448506065	18796580660	25392018978	21534363312	18544358488	22282855299	23591266411	21212908915	LHCBM5	GMM:1.1.1.1	PS.lightreaction.photosystem II.LHC-II	GO:0016020;GO:0009765	membrane;photosynthesis, light harvesting	Chloroplast
Cre03.g156950.t1.1	226863182.6	234652941.9	295221567.8	258768215.9	307749660.8	348663194.7	216743591.6	210971832.6	213594503.4	252808109.6	238564051.4	270308764.5	189915675.7	243684412	256403979.8	245923317.9	270089056.5	335572995.8	256711855.3	313456504.3	258386240	205167528.7	338192272.6	248798506.6	QCR8	GMM:9.5	mitochondrial electron transport / ATP synthesis.cytochrome c reductase	GO:0070469;GO:0022900;GO:0005743	respiratory chain;electron transport chain;mitochondrial inner membrane	
Cre03.g157700.t1.2	118270565.6	87800331.01	100787879.5	151529389.5	118572873.4	136378790.9	70083692.23	112196270.8	105694401	115961786.2	115498383	97707121.14	111521809.3	123341402	109812539.2	100937375.7	87847554.77	124184085.6	154027113.2	110027006.1	118252237.1	171261568.9	141748675.1	144824251.8	COX5C	GMM:9.7	mitochondrial electron transport / ATP synthesis.cytochrome c oxidase			
Cre03.g158000.t1.2	2322823696	2217064979	2282027408	2319098321	2070970917	2152815353	2403661831	2334646411	2383326517	2583819683	2866156801	2894867249	2689090605	3008462103	2617375872	2781556430	2904901555	2877294428	3012301550	2828510563	2986144698	3304177876	3014180478	3080663252	GSA1	GMM:19.3	tetrapyrrole synthesis.GSA	GO:0030170;GO:0008483	pyridoxal phosphate binding;transaminase activity	Chloroplast
Cre03.g158750.t1.1	216152455.3	172774799.5	167367317.4	212427482	162244203.3	201794443.5	227506092.6	225185145.4	198419590.1	176368167.7	196380039.3	202727204.8	180480070.8	259604176.5	190389093.4	192447602.5	233931323.1	206411863.8	231748700.9	257556801.1	247852483.6	203294733.7	258062190.2	227081102.3	HEL14	GMM:29.2.3;GMM:28.1;GMM:27.1.2;GMM:27.1;GMM:17.5.3	protein.synthesis.initiation;DNA.synthesis/chromatin structure;RNA.processing.RNA helicase;RNA.processing;hormone metabolism.ethylene.induced-regulated-responsive-activated	GO:0016787;GO:0005524;GO:0003677	hydrolase activity;ATP binding;DNA binding	Mitochondrion
Cre03.g158800.t3.1;Cre03.g158800.t2.1;Cre03.g158800.t1.1	58038680.7	75528881.78	50802172.21	58772328.74	81424096.92	59271533.07	63440550.56	55214489.37	50808290.75	92287313.8	112319562.5	80378885.67	36824974.25	58023977.42	41220508.9	68598918.97	58921368.03	71113665.61	104428521.6	88142969.25	82685864.33	94285580.01	101929279.1	80312839.45	;;	GMM:25;GMM:25;GMM:25	C1-metabolism;C1-metabolism;C1-metabolism	GO:0046294;GO:0018738;GO:0046294;GO:0018738;GO:0046294;GO:0018738	formaldehyde catabolic process;S-formylglutathione hydrolase activity;formaldehyde catabolic process;S-formylglutathione hydrolase activity;formaldehyde catabolic process;S-formylglutathione hydrolase activity	;;
Cre03.g158900.t1.2	1700719593	1606205519	1570696337	1749746397	1588385346	1656985555	1544638537	1627729573	1788020982	1724642978	1725505601	1948900156	1655261700	1854137744	1949295566	2022359466	2153054843	1965061858	2196110246	2063194119	1983685657	2474813452	2081972534	2194264030	DLA2	GMM:8.1.1.2;GMM:11.1.31	TCA / organic transformation.TCA.pyruvate DH.E2;lipid metabolism.FA synthesis and FA elongation.pyruvate DH	GO:0016746;GO:0008152	transferase activity, transferring acyl groups;metabolic process	Chloroplast
Cre03.g160500.t1.2	813411848.9	828659235.4	798753531.8	892752062.9	836450766.4	758218421.1	901106869.7	817153021	778620357.2	797690753.8	935901672.6	752684706.4	810951062.5	746678818.6	765234723.4	685226461.6	818366194.7	648061791.9	735111626.6	667624142.4	646506717.5	706486371.9	594409532.7	564926784.4	TSK1	GMM:29.1.6	protein.aa activation.lysine-tRNA ligase	GO:0006418;GO:0005524;GO:0004812;GO:0003676;GO:0000166	tRNA aminoacylation for protein translation;ATP binding;aminoacyl-tRNA ligase activity;nucleic acid binding;nucleotide binding	
Cre03.g161400.t1.2	226642701.7	186741332.1	169500351.9	208304233.3	169576816.5	190746011.6	186597606.7	171930743.6	235222846.6	166315702.7	159715850.1	183785146.5	172895252.5	122753038.3	183997960.4	168732408	146694074	197135578.8	152948208.6	157148821.7	186948407.2	118144988.2	154611362	160889978	MAA7	GMM:13.1.6.5.5	amino acid metabolism.synthesis.aromatic aa.tryptophan.tryptophan synthase			Chloroplast
Cre03.g162550.t1.1	53275355.47	63025199.6	22775545.2	84459022.75	80534336.22	77657352.46	83655382.8	77702292.88	64780590.2	78543520.84	69755078.51	57366128.58	46668093.93	34963688.02	43571204.4	62273925.47	68074034.2	41654198.79	77963987.35	68056566.87	54121038.23	84249704.81	67775671.56	79257071.26		GMM:13.1.3.4	amino acid metabolism.synthesis.aspartate family.methionine	GO:0009116;GO:0003824	nucleoside metabolic process;catalytic activity	
Cre03.g164000.t1.2	365963385.6	448502587	382667995.3	398844136.8	429901961.6	491073480	364420480.4	544615158.3	443517431.7	330137266.3	394510266.3	429839688.7	322899795.8	307374784.6	316728918.6	224453934	281863350.2	306165817	163656336.5	244915681.6	250161252.2	205621539.6	214302106.4	261348556.5	ANR1	GMM:1.1.40	PS.lightreaction.cyclic electron flow-chlororespiration			Chloroplast
Cre03.g164600.t1.2;Cre03.g165050.t1.2	372368934.3	432799733.2	424977174.9	403299536.1	383450494	338899247.6	346519585.9	401410944.4	342702073.1	346598584.4	335688251.6	355373284.9	340510653.9	301592979.6	288152737.6	362013361.6	309259934.4	265323051	169833065.1	201248544.6	124230298.4	31802369.41	38318576.48	29692088.35	PMA3;PMA4	GMM:34.1.2;GMM:34.1;GMM:34.1.2;GMM:34.1	transport.p- and v-ATPases.H+-exporting ATPase;transport.p- and v-ATPases;transport.p- and v-ATPases.H+-exporting ATPase;transport.p- and v-ATPases	GO:0046872;GO:0000166;GO:0046872;GO:0000166	metal ion binding;nucleotide binding;metal ion binding;nucleotide binding	;
Cre03.g164700.t1.2	67455533.52	93225249.18	111812552.4	67473528.83	57611403.74	60368929.97	59561657.34	73797833.52	67302727.81	80038008.64	70670561.33	84037909.74	63782871.96	76964763.31	61718113.88	79754523.84	60499910.27	72626145.47	71648703.65	72778962.26	69074437.13	67888250.87	83008380.7	91956127.51						Chloroplast
Cre03.g166050.t1.2	5654405.267	31054102.51	14558160.5	10686200.73	10081518.72	11802368.74	33631717.42	25235387.04	41945992.47	29334329.23	47274141.43	47724856.12	34567695.98	19785993	62762995.15	113002407.3	59270662.48	98621045.76	99647625.78	141010966.7	121581398.8	167564075.4	613242330.5	290853640.8	SBD1	GMM:15.2;GMM:15	metal handling.binding, chelation and storage;metal handling	GO:0008430	selenium binding	
Cre03.g168450.t1.2	435345225.4	385897360	431472145.3	405544415.9	399830138.6	404314900.3	406273430.7	364522738.5	450383943.5	434251308.2	385445191.4	409377372.9	388210985.9	401116965.7	428159931.8	415602073.8	430774100.6	420124686.6	491076899.9	436358947.2	494756723.1	422513900	472271013.6	483393016.3	CCT8	GMM:29.6.2.2;GMM:29.6	protein.folding.chaperones and co-chaperones.HSP60s;protein.folding	GO:0005524	ATP binding	Cytosol
Cre03.g168700.t1.2	72563726.51	67325849.87	78314323.4	58616561.56	60280335.95	71799915.03	101026938	46696141.48	83691945.9	94289302.66	79075950.12	103106656.2	141942835.2	178930458.8	196895174.8	156062646.6	161606260.2	278753329.9	169617284.2	211967060.3	151203723.3	203215281.8	187540255	198423769.7	PGP1	GMM:3.99;GMM:1.2.1	minor CHO metabolism.misc;PS.photorespiration.phosphoglycolate phosphatase			
Cre03.g169400.t1.2	577195636.9	660496538.8	630299724.9	606907847.2	558969854.9	543690822.7	704471583.5	609008855.7	525845428	580223511	507105677.3	467452954.9	512418063.3	457984582.1	491691932	337436566.8	461558073.2	456261529.3	321675396.6	350995342	421917138	255233581.5	288306606.3	373384763.9	UXS1	GMM:3.5;GMM:10.1.5	minor CHO metabolism.others;cell wall.precursor synthesis.UXS	GO:0055114;GO:0016616;GO:0006694;GO:0003854	oxidation-reduction process;oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor;steroid biosynthetic process;3-beta-hydroxy-delta5-steroid dehydrogenase activity	
Cre03.g169850.t1.2	62727960.09	41093293.96	64626153.4	75059161.07	51901695.92	63926394.75	56856755.3	31817684.22	55338941.54	77089502.44	63426354.78	49137516.7	51994610.9	40268970.72	62474474.58	48426172.85	46050251.3	61188621.73	45810287.9	26987682.1	26880661.93	45313618.33	60508664.19	49122225.27	TSC1	GMM:29.1.16	protein.aa activation.cysteine-tRNA ligase	GO:0006423;GO:0005737;GO:0005524;GO:0004817;GO:0000166	cysteinyl-tRNA aminoacylation;cytoplasm;ATP binding;cysteine-tRNA ligase activity;nucleotide binding	
Cre03.g169900.t1.2	51303571.17	56340363.44	59033928	51871613.91	69413088.33	70897983.23	60935523.54	86903643.25	69775763.24	87761164.63	58283495.44	82548232.18	69382920.46	84485635.7	72860065.71	77657021.53	61696531.65	73064783.99	120216941.3	75200241.32	86388139.55	90871417.99	82942046.13	73017187.91						Chloroplast
Cre03.g171100.t1.1	59093776.93	116170732.3	58864563.46	84818661.66	77438419.19	87331944	113665189.2	87445612.83	110386387.6	109113164.3	96672068.36	102058202.8	98058756.81	87620935.44	109766559.8	80229110.22	90439434.76	91774217.93	93682632.16	130388581.2	76402715.74	85321134.66	84574498.33	59020973.27						Chloroplast
Cre03.g171350.t1.2	138554803.1	83494254.73	84355027.16	111876335.9	137535729.4	112865478.6	48921058.13	99590658.32	55760596.81	90381095.11	137445833	92435441.02	132370976.1	138951434.6	110423837.1	67994386.32	56347720.45	20443690.38	84321786.41	81458316.44	134691905.7	109837723.6	68389189.06	192147164.9	SEC61A	GMM:34.99;GMM:29.3.4.99	transport.misc;protein.targeting.secretory pathway.unspecified	GO:0016020;GO:0015031	membrane;protein transport	Secretory pathway
Cre03.g171950.t1.1	129758777.9	98834651.47	113833742.5	150716193.2	118422282.6	147064216.2	164688229.6	134282066.6	158381824.6	140094709.7	182804865.2	145464174.2	201815211	176045213.6	145283327.4	208832132.3	208252423.2	210265685.7	269200175.7	229462754.2	250563225.2	188584780.4	244577616.8	218661764.2	PEPC2	GMM:4.1.15	glycolysis.cytosolic branch.phospho-enol-pyruvate carboxylase (PEPC)	GO:0015977;GO:0008964;GO:0006099	carbon fixation;phosphoenolpyruvate carboxylase activity;tricarboxylic acid cycle	
Cre03.g172000.t1.2	548231416.7	578281735.7	513581991.9	521911656.8	585415914.8	526164118.9	512273083.5	558132265.1	636138287.6	548331062.6	530778088.4	543160028.6	584269456.1	601930029	661091441.1	631637749.4	678917101.8	540057948.6	656540401.5	551414763.7	596239467.5	751524253.8	546721198.8	639312842	KAR1	GMM:26.22;GMM:11.1.4	misc.short chain dehydrogenase/reductase (SDR);lipid metabolism.FA synthesis and FA elongation.ACP oxoacyl reductase			Chloroplast
Cre03.g172300.t1.2	674973088.4	749124877.9	680038575.4	567610996.5	671333754.1	664469637.2	643641488.6	568768150.3	631056601.2	529711771.9	590262033.1	611737619	508319082.1	589042600.6	676942830.3	445051853.7	662815011.3	592975377.6	442485735.4	741920760	624635258.7	570805212.4	635671705.5	749969375.1	MPC5	GMM:34.9	transport.metabolite transporters at the mitochondrial membrane			Mitochondrion
Cre03.g172850.t1.2	71390536.34	61959532.54	73665586.32	72550851.45	119453250.4	75879550.85	90710312.03	105262059.3	85928823.2	93194050.27	77483952.43	63510065.59	89903941.66	69511801.14	48300183.03	101109498.5	78668019.79	102010085.1	93781082.2	96864380.39	82679680.13	89071264.75	94260381.41	57824978.45	OASTL3	GMM:13.1.5.3.1	amino acid metabolism.synthesis.serine-glycine-cysteine group.cysteine.OASTL			Chloroplast
Cre03.g172950.t1.2	151342691.9	145861822.7	113138708.8	132722794	137732655.8	92401005.52	103601152.5	125809775.4	143916165.1	117061877.2	122771182	136980438.6	91602577.62	91143197.47	124316732.8	101883526.3	92990051.94	86017692.48	47688930.48	89029770.22	105647754.3	46767591.33	64920810.29	85805771.91	PUS21	GMM:29.2.2.3.1;GMM:28.1	protein.synthesis.ribosome biogenesis.pre-rRNA processing and modifications.snoRNPs;DNA.synthesis/chromatin structure	GO:0006396;GO:0003723	RNA processing;RNA binding	
Cre03.g173350.t2.1;Cre03.g173350.t1.2	462267096.7	382435569.9	375038602.1	353270785.3	383728507.7	388277454.4	367319766.4	368485757.1	403012026.3	357887275	366832618	407271728.9	373847520.1	398322238	388847566.9	384626837.6	380059233	339901283.2	428473462.4	314586034	320506542.7	370677204.7	352578581.6	312870251.6	ANK22;ANK22	GMM:31.1;GMM:27.3.39;GMM:31.1;GMM:27.3.39	cell.organisation;RNA.regulation of transcription.AtSR transcription factor family;cell.organisation;RNA.regulation of transcription.AtSR transcription factor family	;	;	;
Cre03.g175200.t1.2	198769281.5	223942011.3	238899869.1	197984658.1	197111763.8	218018046.6	177438498.7	178475079.8	213633473.4	193068055.7	227457090.8	243809104.5	197443721.4	180820011.5	176606776	197800823.9	184099287.6	170991560.8	181215508.3	144135197.8	139319749.7	182421582.3	175973165.1	208588479	TOC75	GMM:29.3.3	protein.targeting.chloroplast	GO:0019867	outer membrane	Chloroplast
Cre03.g175400.t2.1	1221579909	1247221136	1546649768	1292409396	1267858636	1246601929	1337185839	1401194859	1389747707	1232213164	1286612369	1350670111	1288510754	1569799662	1462833788	1245153644	1287399553	1284252263	1228009178	1289586446	1152838204	1126151353	1151319306	1252844058	PGI1	GMM:4.1.3	glycolysis.cytosolic branch.glucose-6-phosphate isomerase	GO:0006096;GO:0006094;GO:0004347	glycolytic process;gluconeogenesis;glucose-6-phosphate isomerase activity	Chloroplast
Cre03.g176100.t1.2	55739877.81	82040085.83	57827605.09	53122332.68	54399186.29	87933573.38	86080240.17	61290760.92	58670875.5	64877980.45	70598758.75	65233024.04	56248013.51	67110802.48	36232896.29	94178559.93	89942555.99	46338819.5	67458508.04	81594100.33	96037965.78	62416284.42	56363651.31	53183434.03						
Cre03.g176250.t1.2	208412417.3	187077744.4	239139535.9	214466199.4	187207523.2	184398049.8	157659657.6	230551286.9	204834050.1	191560728.2	227984390.9	254249953.1	259700546.1	166608764.8	178549404.5	211205064.2	211601427.7	238966007.7	192045012.9	271711971	238967847.7	201546791.7	209244095.7	224030858.4	ATPVD1	GMM:34.1.1	transport.p- and v-ATPases.H+-transporting two-sector ATPase	GO:0033179;GO:0015991;GO:0015078	proton-transporting V-type ATPase, V0 domain;ATP hydrolysis coupled proton transport;hydrogen ion transmembrane transporter activity	
Cre03.g177053.t1.1	206242421.7	138753758.3	180572958.2	178593935.8	204907733.3	208905649.9	182984481.3	285037437.7	234879910.7	188719578.4	182333660.8	175808163.4	182569302.2	186635760.6	74100359.33	211190939.6	152787534.9	213548212.4	257615437.9	252666177.9	257932731.9	316422901.4	247573037	215328936.3		GMM:33.99;GMM:17.2.2	development.unspecified;hormone metabolism.auxin.signal transduction			
Cre03.g177200.t1.2	231110339.8	271180796.7	256099956.7	245928877.6	244617367	247886975.1	245011630	299143641.8	261309356.5	251224873.5	253418208.8	226719313.8	234482160.6	273962514.2	204573730.3	252943241.5	208665051.3	214932877	202847544.9	195180326.6	218364150.1	194770679	215680621.6	168544677.3	CRB3	GMM:27.4	RNA.RNA binding	GO:0003676	nucleic acid binding	
Cre03.g177500.t1.1	71332122.95	41729266.11	56711556.68	81485702.3	58957453.75	65121524.2	50018417.13	53886679.77	67657354.7	71996326.23	38283753.76	58907355.1	85876817.39	64569523.8	88411876.21	89346751.5	97409010.6	115391949.2	109048930.5	116268174.2	109779881.2	99254729.39	109296561.8	104406442		GMM:17.1.3;GMM:17.1.1	hormone metabolism.abscisic acid.induced-regulated-responsive-activated;hormone metabolism.abscisic acid.synthesis-degradation			
Cre03.g178150.t1.1	906976955.8	844416349.2	947322982.9	880027259.3	806367359.5	772198829.5	929374908.1	736628766.7	855157413.3	788603412.1	746230686.3	804976320.4	759344776.1	806001722.1	737624109.3	923508373.8	808770193.2	737948799	628070807.2	697220223.4	669243964.5	594924541.8	649425763.2	634708386.6	CAM1	GMM:31.6.1.6.1;GMM:30.3;GMM:3.3	cell.motility.eukaryotes.central pair.C1a;signalling.calcium;minor CHO metabolism.sugar alcohols			
Cre03.g178250.t1.2	60884043.99	54540015.52	53670121.68	57662387.69	74471110.33	58540865.92	60634301.85	60428536.59	57364601.51	89878704.79	55374369.28	68357415.21	67385660.66	71853919.23	38965636.39	79590678.54	73967898.29	68477961.28	64182684.04	77969992.31	75149384.27	72807320.4	70845316.19	67089574.92	NUOS6	GMM:9.1.2;GMM:9.1.1	mitochondrial electron transport / ATP synthesis.NADH-DH (type I).localisation not clear;mitochondrial electron transport / ATP synthesis.NADH-DH (type I).complex I			
Cre03.g178450.t1.2	287448997.2	282662219.8	297434491.3	448655271.7	472264310	546734493.5	823550969.6	808188030.2	824760822.8	971347900.7	1084880794	1129446441	1108007974	1078029425	920909389.4	808505923.9	959062767.7	909327678.6	817620853.3	813045081.4	958303843.3	834245041	866049579.3	878503495.8	CPN10	GMM:29.9;GMM:29.6.2.6;GMM:29.6;GMM:29.4	protein.co-chaperones;protein.folding.chaperones and co-chaperones.co-chaperones;protein.folding;protein.postranslational modification	GO:0006457;GO:0005737	protein folding;cytoplasm	Mitochondrion
Cre03.g180750.t1.2	16031278093	17423982037	16945241854	16473523877	15071821572	16255249824	16127278289	14584979666	14633230436	12472864396	11459242009	11781121536	9508727934	9253150956	8496988337	4868182801	4808172481	5034563233	3157683941	4652821170	3548700882	2664022498	3103628494	2751702341	METE	GMM:13.1.3.4.3;GMM:13.1.3.4	amino acid metabolism.synthesis.aspartate family.methionine.methionine synthase;amino acid metabolism.synthesis.aspartate family.methionine	GO:0009086;GO:0008652;GO:0008270;GO:0003871	methionine biosynthetic process;cellular amino acid biosynthetic process;zinc ion binding;5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity	
Cre03.g180800.t1.1	101378251.8	102962754.8	102201913.6	104709900.6	108789105.5	100338750.1	112577956.9	84932844.8	94478838.54	85386310.43	87930105	87081045.78	110630479.6	62351845.16	52888924.56	41113870.19	70387630.15	74024366.28	70707359.41	71522060.08	82092181	46513417.39	77931436.43	88789525.5	HDA16	GMM:35.1.25;GMM:27.3.67	not assigned.no ontology.paired amphipathic helix repeat-containing protein;RNA.regulation of transcription.putative transcription regulator	GO:0006355	regulation of transcription, DNA-templated	Chloroplast
Cre03.g181300.t1.2	314266430.2	317649089.6	299335847.9	288215083.7	282172393.9	329647233	306654403.6	353308466.8	312079456.7	284939127.9	314113822	261833766.1	333890969.6	261629505.4	318326701.9	273438028.3	266720860	248310073.4	381082579.3	333992315.3	315497339.6	344435374.3	282543790.9	301201198.6	SHKG1	GMM:13.1.6.1.6	amino acid metabolism.synthesis.aromatic aa.chorismate.5-enolpyruvylshikimate-3-phosphate synthase	GO:0016765	transferase activity, transferring alkyl or aryl (other than methyl) groups	Chloroplast
Cre03.g181500.t1.2	107541271.5	166795343.7	85529093.06	162799602.6	81831036.78	131333929.8	219027877.6	128733840.5	204491114.2	124696111.7	104586058.3	169569865.6	125297111.1	133456732.1	244529806.4	158110712.8	176499254.5	160272513.4	189347751.5	196874621.1	399468487.1	155680339.9	179134421.8	266310397.5	STA11	GMM:2.2.2.4	major CHO metabolism.degradation.starch.D enzyme	GO:0005975;GO:0004134	carbohydrate metabolic process;4-alpha-glucanotransferase activity	Chloroplast
Cre03.g182050.t1.2	27878061.88	57687760.6	43142421.19	81168330.6	55082636.81	56146883.87	55994657.01	62736603.87	62946662.57	43985769.92	37469724.36	50805431.34	40314068.93	45001904.25	42333209.75	61358651.74	49839712.27	53878947.95	62188059.23	48901425.66	84630795.66	43698549.77	50523100.09	44475382.28		GMM:11.1.9	lipid metabolism.FA synthesis and FA elongation.long chain fatty acid CoA ligase	GO:0008152;GO:0003824	metabolic process;catalytic activity	
Cre03.g182150.t1.2	1047724963	1214013995	1102147738	1301228567	1152772518	1032334951	1339052803	1135993937	1085625921	1318965829	1275505408	1259105180	1933674493	1561539941	1631348194	2068970628	1933018530	1917324818	2202179084	2242837404	2098196453	2200363859	2116694533	2404789040	TEF8	GMM:1.1.99.1	PS.lightreaction.unspecified.TEF			Chloroplast
Cre03.g182450.t1.2	201484677.2	166513191.6	199091213.2	165113203.2	185099252.1	208524027.6	166741890.5	168653220.1	167633299.7	193913894.2	181795141.5	147884354.1	168966589.1	179235955.4	177124043.9	195978751.1	215871648.4	184499303.5	140500347.2	226987401.9	229887378.7	166622002.7	215556244.3	185084147.1		GMM:25.5	C1-metabolism.methylenetetrahydrofolate dehydrogenase and methenyltetrahydrofolate cyclohydrolase	GO:0055114;GO:0009396;GO:0004488;GO:0003824	oxidation-reduction process;folic acid-containing compound biosynthetic process;methylenetetrahydrofolate dehydrogenase (NADP+) activity;catalytic activity	Chloroplast
Cre03.g182500.t1.2	47539150.9	45467737.88	49244337.99	42488932.44	35175761.43	48291979.31	42665628.98	49115725.02	56021695.73	22833301.4	35119311.99	49468653.24	43003486.91	58000456.52	45651771.08	33194209.95	36704705.5	68337558.22	19252995.84	38790933.34	38606938.41	57570160.3	41150233.25	39533488.44	SRP72	GMM:29.3.4.99	protein.targeting.secretory pathway.unspecified	GO:0048500;GO:0008312;GO:0006614	signal recognition particle;7S RNA binding;SRP-dependent cotranslational protein targeting to membrane	
Cre03.g182551.t1.2	9217027553	8848726304	10471042619	9463084821	11507800864	10435043849	9875802706	9454905596	11509396211	13060613701	10907932873	12930925448	14609858894	13725846692	13673116378	14730539789	18972254444	19548947401	15637373064	20569456569	21747774795	20136518738	21318271058	22027415468	PCY1	GMM:1.1.5.1	PS.lightreaction.other electron carrier (ox/red).plastocyanin			Chloroplast
Cre03.g182950.t1.2;Cre12.g520150.t1.1	62271912.87	97324052.13	90961540.59	92808601.35	133840463	98923955.06	80686909.31	66273163.29	51961913.11	102602376.8	135336632.4	92945395.21	103609980.9	113031459.3	113723085	55015296.27	121869218.3	65086017.01	88547046.42	92661088	98348384.98	54052268.49	121703198.5	87617633.42	;	GMM:27.1.2;GMM:27.1.2	RNA.processing.RNA helicase;RNA.processing.RNA helicase	GO:0004386;GO:0005524;GO:0004386;GO:0003676	helicase activity;ATP binding;helicase activity;nucleic acid binding	;
Cre03.g183100.t1.2	165848010.5	190745722.6	171865064.4	171355343.6	157784399.1	133670203.1	139022959.4	156250042.9	124102481.2	156946414.9	119158615	194601690.9	233880371.1	158767686.7	131960803.7	122395262.7	135112563.5	136026357.5	139219148	154385078.9	186134154	149993853.3	187550619.8	126880173.8	TIM22B	GMM:29.3.2	protein.targeting.mitochondria			
Cre03.g183400.t1.1	40809843.5	43980000.92	42370694.08	41704369.84	54957530.62	37443666.39	41418057.43	38855791.1	72349341.24	55638821.63	55106231.55	44454424.78	55821233.3	38006033.33	50676167.18	48734147.14	41528615.42	42643798.28	46070573.63	45927398.03	39152178.83	58844353.61	56772630.36	39088003.22						Chloroplast
Cre03.g184550.t1.2	145927329.9	61512206.44	85305404.04	61996570.93	81398957.04	59398119.99	67809722.9	60433892.02	40946914.33	132514695.6	56996658.68	53099796.9	68498072.07	86758756.3	67026432.62	90296347.25	106861072	63791403.97	32839304.19	48280184.34	69031147.72	97583969.25	65406918.28	67687987.89	CPLD28	GMM:1.1.1.3	PS.lightreaction.photosystem II.biogenesis			Chloroplast.Stroma.Thylakoid.Membrane
Cre03.g185550.t1.2	4430504507	4132010090	4812109958	4322080908	3984516537	4193191735	4436566485	3981548426	4396126389	4258905202	3929620233	4111247952	3910950336	4011169657	4238608603	3743158835	4156124183	3726684524	4283520856	3537711011	4021070797	4069867270	3719503477	3352110028	SEBP1	GMM:1.3.9	PS.calvin cycle.sedoheptulose bisphosphatase	GO:0042578;GO:0042132;GO:0005975	phosphoric ester hydrolase activity;fructose 1,6-bisphosphate 1-phosphatase activity;carbohydrate metabolic process	Chloroplast
Cre03.g187450.t1.2	498588414.4	412745224.7	593910315.4	589750551.3	442632675.5	506831690	387878339.7	396794563.2	631711297	489512755.8	482187940.4	561525437.6	591331966.5	561762890.4	807363325	482439655.8	777995816.6	641874374.3	502459343	567011886.4	601341433.6	639973774	544824444.8	764281418.8	RPI1	GMM:7.2.4;GMM:1.3.10	OPP.non-reductive PP.ribose 5-phosphate isomerase;PS.calvin cycle.Rib5P Isomerase	GO:0009052;GO:0004751	pentose-phosphate shunt, non-oxidative branch;ribose-5-phosphate isomerase activity	Chloroplast
